Removed Pin From Net: NetName=NetC2_1 Pin=RESET-1
Removed Pin From Net: NetName=GND Pin=RESET-2
Change Component Footprint: Designator=RESET Old Footprint=FP-FSM2JSMAA-MFG New Footprint=FP-EVQ-PAC07K-MFG
Change Managed Component Library Link : Designator=RESET Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=AA6E6A7A-AFF0-40F7-9E3E-8F6A88473EC3 New ItemGUID=2E79E83A-13F4-40B8-B6B3-FF9348A04D78 Old RevisionGUID=803B16CF-BE97-4045-AA60-6CBADE4609E7 New RevisionGUID=9F0B69CD-BFD8-4B38-9C90-005ADD2FDE6C
Change component parameters: Designator = "RESET" ("RESET"); Footprint = "FP-FSM2JSMAA-MFG"; UniqueID = "\EXGQSPJL" ("\EXGQSPJL")
Change component parameters (AddParameter): Name = "Throw Configuration"; Value = "SPST"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "15V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "6mm"; VariantName = "[No Variations]"
Added Component: Designator=RESET?(FP-EVQ-PAC07K-MFG)
Add component (AddParameter): Name = "Actuator Length"; Value = "3.1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Color"; Value = "Black"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Current Rating"; Value = "20mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Gold, Silver"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Resistance"; Value = "50mO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "20mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "7.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Electrical Life"; Value = "100kcycles"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "7mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Illumination Type"; Value = "Illuminated, Non-Illuminated"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "6mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Life (Cycles)"; Value = "100kcycles"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Current Rating"; Value = "20mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "70°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Voltage Rating (DC)"; Value = "15V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mechanical Life"; Value = "100kcycles"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-20°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "NexarPartId"; Value = "39841884"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Positions"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Force"; Value = "1N"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Orientation"; Value = "Straight"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Switch Function"; Value = "Off-Mom"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Switch Travel"; Value = "250µm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "PC Pins"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Throw Configuration"; Value = "SPST"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "15V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "6mm"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=RESET-A'
Added Pin To Net: NetName=NetC2_1 Pin=RESET-B
Added Pin To Net: NetName=GND Pin=RESET?-A'
Added Pin To Net: NetName=BOOT Pin=ESP32 S3-36
Added Pin To Net: NetName=BOOT Pin=RESET?-B
Added Net: Name=BOOT
